
Run on 2025-05-27 09:06:12:
Diameter_of_vortex.txt not found.
r1_dt_40_C001H001S0001000355.jpg: 1.43 cm
r1_dt_40_C001H001S0001000356.jpg: 1.44 cm
r1_dt_40_C001H001S0001000357.jpg: 1.44 cm
r1_dt_40_C001H001S0001000358.jpg: 1.43 cm
r1_dt_40_C001H001S0001000359.jpg: 1.44 cm
r1_dt_40_C001H001S0001000360.jpg: 1.44 cm
r1_dt_40_C001H001S0001000361.jpg: 1.45 cm
r1_dt_40_C001H001S0001000362.jpg: 1.44 cm
r1_dt_40_C001H001S0001000363.jpg: 1.44 cm
r1_dt_40_C001H001S0001000364.jpg: 1.43 cm
r1_dt_40_C001H001S0001000365.jpg: 1.44 cm
r1_dt_40_C001H001S0001000366.jpg: 1.45 cm
r1_dt_40_C001H001S0001000367.jpg: 1.47 cm
r1_dt_40_C001H001S0001000368.jpg: 1.47 cm
r1_dt_40_C001H001S0001000369.jpg: 1.48 cm
r1_dt_40_C001H001S0001000370.jpg: 1.46 cm
r1_dt_40_C001H001S0001000371.jpg: 1.45 cm
r1_dt_40_C001H001S0001000372.jpg: 1.45 cm
r1_dt_40_C001H001S0001000373.jpg: 1.44 cm
r1_dt_40_C001H001S0001000374.jpg: 1.45 cm
r1_dt_40_C001H001S0001000375.jpg: 1.45 cm
r1_dt_40_C001H001S0001000376.jpg: 1.45 cm
r1_dt_40_C001H001S0001000377.jpg: 1.45 cm
r1_dt_40_C001H001S0001000378.jpg: 1.45 cm
r1_dt_40_C001H001S0001000379.jpg: 1.45 cm
r1_dt_40_C001H001S0001000380.jpg: 1.44 cm
r1_dt_40_C001H001S0001000381.jpg: 1.45 cm
r1_dt_40_C001H001S0001000382.jpg: 1.46 cm
r1_dt_40_C001H001S0001000383.jpg: 1.48 cm
r1_dt_40_C001H001S0001000384.jpg: 1.48 cm
r1_dt_40_C001H001S0001000385.jpg: 1.48 cm
r1_dt_40_C001H001S0001000386.jpg: 1.46 cm
r1_dt_40_C001H001S0001000387.jpg: 1.44 cm
r1_dt_40_C001H001S0001000388.jpg: 1.44 cm
r1_dt_40_C001H001S0001000389.jpg: 1.44 cm
r1_dt_40_C001H001S0001000390.jpg: 1.44 cm
r1_dt_40_C001H001S0001000391.jpg: 1.44 cm
r1_dt_40_C001H001S0001000392.jpg: 1.44 cm
r1_dt_40_C001H001S0001000393.jpg: 1.44 cm
r1_dt_40_C001H001S0001000394.jpg: 1.44 cm
r1_dt_40_C001H001S0001000395.jpg: 1.45 cm
r1_dt_40_C001H001S0001000396.jpg: 1.45 cm
r1_dt_40_C001H001S0001000397.jpg: 1.45 cm
r1_dt_40_C001H001S0001000398.jpg: 1.46 cm
r1_dt_40_C001H001S0001000399.jpg: 1.47 cm
r1_dt_40_C001H001S0001000400.jpg: 1.48 cm
r1_dt_40_C001H001S0001000401.jpg: 1.48 cm
r1_dt_40_C001H001S0001000402.jpg: 1.47 cm
r1_dt_40_C001H001S0001000403.jpg: 1.45 cm
r1_dt_40_C001H001S0001000404.jpg: 1.45 cm
r1_dt_40_C001H001S0001000405.jpg: 1.45 cm
r1_dt_40_C001H001S0001000406.jpg: 1.47 cm
r1_dt_40_C001H001S0001000407.jpg: 1.46 cm
r1_dt_40_C001H001S0001000408.jpg: 1.46 cm
r1_dt_40_C001H001S0001000409.jpg: 1.46 cm
r1_dt_40_C001H001S0001000410.jpg: 1.46 cm
r1_dt_40_C001H001S0001000411.jpg: 1.47 cm
r1_dt_40_C001H001S0001000412.jpg: 1.46 cm
r1_dt_40_C001H001S0001000413.jpg: 1.46 cm
r1_dt_40_C001H001S0001000414.jpg: 1.46 cm
r1_dt_40_C001H001S0001000415.jpg: 1.49 cm

Run on 2025-05-27 15:36:53:
Diameter_of_vortex.txt not found.
Result of main00000091.png: 1.44 cm
Result of main00000092.png: 1.44 cm
Result of main00000093.png: 1.46 cm
Result of main00000094.png: 1.48 cm
Result of main00000095.png: 1.49 cm
Result of main00000096.png: 1.49 cm
Result of main00000097.png: 1.46 cm
Result of main00000098.png: 1.44 cm
Result of main00000099.png: 1.45 cm
Result of main00000100.png: 1.45 cm
